📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_205148/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
    132      |    893.87    |    -46.93    |    -50.23    |      46      |  ✅ Success  
    133      |   -3612.88   |   -1230.06   |   -1442.63   |     1000     | ⏱️  Timeout 
    134      |   -3736.56   |   -1344.52   |   -1281.50   |     1000     | ⏱️  Timeout 
    135      |   -3434.60   |   -1421.63   |   -1179.15   |     1000     | ⏱️  Timeout 
    136      |    432.03    |   -225.99    |   -212.17    |     190      |  ✅ Success  
    137      |    848.93    |    -68.18    |    -59.58    |      53      |  ✅ Success  
    138      |    626.85    |   -164.22    |   -122.33    |     101      |  ✅ Success  
    139      |   -3845.97   |   -1502.68   |   -1199.52   |     1000     | ⏱️  Timeout 
    140      |    954.75    |    -23.70    |    -22.70    |      21      |  ✅ Success  
  📊 统计 [Ep 140]: Actor Loss=15.2226, Critic Loss=54.9022, Alpha=0.0804, TD-error=4.7227, Beta=1.0000
    141      |    801.68    |    -72.16    |    -69.70    |      59      |  ✅ Success  
    142      |    905.46    |    -45.68    |    -45.49    |      40      |  ✅ Success  
    143      |    782.53    |   -116.88    |    -73.44    |      62      |  ✅ Success  
    144      |    932.32    |    -33.42    |    -31.10    |      29      |  ✅ Success  
    145      |    852.66    |    -52.28    |    -53.24    |      46      |  ✅ Success  
    146      |    825.52    |    -67.38    |    -68.75    |      60      |  ✅ Success  
    147      |    935.52    |    -31.72    |    -29.54    |      29      |  ✅ Success  
    148      |    905.80    |    -42.63    |    -41.02    |      38      |  ✅ Success  
    149      |    769.26    |    -71.59    |    -69.10    |      61      |  ✅ Success  
    150      |   -3524.50   |   -1455.93   |   -1167.60   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 150]: Actor Loss=4.1860, Critic Loss=120.9105, Alpha=0.0962, TD-error=8.1938, Beta=1.0000
    151      |    568.71    |   -163.79    |   -141.81    |     122      |  ✅ Success  
    152      |   -4839.56   |   -1522.77   |   -1589.24   |     1000     | ⏱️  Timeout 
    153      |    659.34    |   -116.25    |   -116.70    |      98      |  ✅ Success  
    154      |    896.28    |    -43.65    |    -41.97    |      38      |  ✅ Success  
    155      |   -390.58    |   -446.88    |   -431.30    |     282      |  ✅ Success  
    156      |    -64.65    |   -385.43    |   -440.53    |     336      |  ✅ Success  
    157      |    949.43    |    -23.43    |    -25.48    |      24      |  ✅ Success  
    158      |    834.26    |    -67.34    |    -75.18    |      62      |  ✅ Success  
    159      |    911.59    |    -48.80    |    -40.16    |      35      |  ✅ Success  
    160      |    912.79    |    -38.02    |    -38.61    |      35      |  ✅ Success  
  📊 统计 [Ep 160]: Actor Loss=-12.9425, Critic Loss=137.7351, Alpha=0.1947, TD-error=11.6273, Beta=1.0000
    161      |    623.33    |   -126.03    |   -130.75    |     103      |  ✅ Success  
    162      |    899.70    |    -44.20    |    -43.65    |      40      |  ✅ Success  
    163      |    844.30    |    -54.21    |    -54.56    |      47      |  ✅ Success  
    164      |    868.87    |    -56.15    |    -58.11    |      52      |  ✅ Success  
    165      |   -953.81    |   -711.49    |   -711.80    |     606      |  ✅ Success  
    166      |    863.11    |    -48.68    |    -49.83    |      42      |  ✅ Success  
    167      |   -4389.75   |   -1211.43   |   -1277.19   |     1000     | ⏱️  Timeout 
    168      |    928.38    |    -35.22    |    -34.55    |      32      |  ✅ Success  
    169      |    925.49    |    -33.01    |    -33.83    |      31      |  ✅ Success  
    170      |   -3301.77   |   -1325.99   |   -1189.00   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 170]: Actor Loss=-19.3819, Critic Loss=138.7242, Alpha=0.2300, TD-error=9.9946, Beta=1.0000
    171      |    916.46    |    -36.57    |    -39.10    |      34      |  ✅ Success  
    172      |    -9.91     |   -379.48    |   -382.90    |     321      |  ✅ Success  
    173      |    923.53    |    -38.21    |    -36.18    |      33      |  ✅ Success  
    174      |    931.98    |    -33.79    |    -35.27    |      31      |  ✅ Success  
    175      |   -1552.12   |   -876.17    |   -931.24    |     743      |  ✅ Success  
    176      |    102.46    |   -419.61    |   -360.61    |     305      |  ✅ Success  
