📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_203720/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |    Steps     |    Status   
     66      |   -1101.33   |   -102.90    |    -54.73    |    -91.68    |      67      |  ❌ Failure  
     67      |   -586.25    |    -12.19    |    -12.84    |    -9.88     |      10      |  ❌ Failure  
     68      |   -6371.88   |   -1139.47   |   -908.11    |   -846.81    |     522      |  ❌ Failure  
     69      |   -3754.30   |   -468.19    |   -534.81    |   -460.61    |     283      |  ❌ Failure  
     70      |   -8813.48   |   -2072.55   |   -2568.04   |   -1845.43   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 70]: Actor Loss=44.3231, Critic Loss=68.8884, Alpha=0.0605, TD-error=3.5763, Beta=1.0000
     71      |  -13069.45   |   -1569.38   |   -1819.84   |   -1710.32   |     1000     | ⏱️  Timeout 
     72      |  -13202.67   |   -1072.14   |   -2722.26   |   -1464.71   |     1000     | ⏱️  Timeout 
     73      |   -1577.41   |   -261.67    |   -167.76    |   -148.32    |     117      |  ❌ Failure  
     74      |    388.20    |    -83.23    |   -110.47    |    -79.56    |      59      |  ✅ Success  
     75      |    576.65    |    -71.64    |    -73.75    |    -95.49    |      56      |  ✅ Success  
     76      |   -7608.97   |   -2096.72   |   -2121.69   |   -1496.61   |     1000     | ⏱️  Timeout 
     77      |   -4423.72   |   -670.76    |   -457.48    |   -513.34    |     352      |  ❌ Failure  
     78      |   -846.83    |    -53.11    |    -46.55    |    -47.51    |      41      |  ❌ Failure  
     79      |    21.20     |   -162.57    |   -150.97    |   -193.65    |     133      |  ✅ Success  
     80      |   -1354.40   |   -143.19    |    -87.29    |   -131.76    |      98      |  ❌ Failure  
  📊 统计 [Ep 80]: Actor Loss=48.5097, Critic Loss=83.7902, Alpha=0.0632, TD-error=4.2683, Beta=1.0000
     81      |   -4100.67   |   -1027.33   |   -867.05    |   -887.00    |     678      |  ✅ Success  
     82      |   -2001.15   |   -757.93    |   -704.72    |   -439.76    |     305      |  ✅ Success  
     83      |   -1303.08   |   -467.07    |   -483.91    |   -352.72    |     287      |  ✅ Success  
     84      |   -386.24    |   -183.62    |   -261.88    |   -172.17    |     146      |  ✅ Success  
     85      |   -739.40    |   -240.97    |   -362.14    |   -364.64    |     175      |  ✅ Success  
     86      |   -1950.55   |   -516.60    |   -392.42    |   -449.36    |     343      |  ✅ Success  
     87      |   -499.47    |   -318.11    |   -320.52    |   -283.02    |     215      |  ✅ Success  
     88      |  -11353.51   |   -1740.64   |   -1540.09   |   -1316.68   |     1000     | ⏱️  Timeout 
     89      |   -718.40    |    -19.37    |    -29.21    |    -30.49    |      23      |  ❌ Failure  
     90      |    144.05    |   -128.27    |   -189.87    |   -105.03    |      97      |  ✅ Success  
  📊 统计 [Ep 90]: Actor Loss=50.2661, Critic Loss=118.3207, Alpha=0.0992, TD-error=5.0671, Beta=1.0000
     91      |  -10553.36   |   -1805.72   |   -1620.73   |   -1452.30   |     1000     | ⏱️  Timeout 
     92      |  -12922.22   |   -2182.36   |   -1856.38   |   -2117.76   |     1000     | ⏱️  Timeout 
     93      |  -13125.36   |   -1544.78   |   -1481.91   |   -1325.01   |     1000     | ⏱️  Timeout 
     94      |    371.68    |    -81.50    |    -95.81    |   -101.33    |      68      |  ✅ Success  
     95      |   -6551.12   |   -1822.11   |   -1529.34   |   -1652.18   |     937      |  ✅ Success  
     96      |    41.46     |   -155.29    |   -170.14    |   -174.76    |      94      |  ✅ Success  
     97      |  -10526.60   |   -1775.79   |   -1815.57   |   -1838.17   |     1000     | ⏱️  Timeout 
     98      |    468.73    |   -105.84    |    -87.71    |    -74.91    |      62      |  ✅ Success  
     99      |    675.65    |    -47.03    |    -49.55    |    -46.23    |      43      |  ✅ Success  
    100      |  -10460.10   |   -1790.22   |   -1667.74   |   -1940.78   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 100]: Actor Loss=37.0612, Critic Loss=114.4756, Alpha=0.1005, TD-error=5.4189, Beta=1.0000
    101      |    306.64    |   -136.19    |   -120.17    |    -94.59    |      82      |  ✅ Success  
    102      |    805.26    |    -32.13    |    -44.19    |    -70.28    |      32      |  ✅ Success  
    103      |    657.11    |    -54.59    |    -52.08    |    -58.95    |      42      |  ✅ Success  
    104      |    532.72    |    -82.33    |    -68.73    |    -57.89    |      55      |  ✅ Success  
    105      |   -5605.43   |   -1446.73   |   -1195.62   |   -1314.51   |     841      |  ✅ Success  
    106      |   -392.73    |   -342.32    |   -333.58    |   -229.72    |     170      |  ✅ Success  
    107      |   -1766.73   |   -566.17    |   -630.43    |   -652.64    |     400      |  ✅ Success  
    108      |   -1250.59   |   -526.69    |   -515.67    |   -488.84    |     340      |  ✅ Success  
    109      |    412.52    |    -92.84    |   -108.94    |    -93.44    |      74      |  ✅ Success  
    110      |    102.66    |   -177.22    |   -206.03    |   -183.75    |     116      |  ✅ Success  
  📊 统计 [Ep 110]: Actor Loss=10.9894, Critic Loss=369.6689, Alpha=0.1463, TD-error=12.2583, Beta=1.0000
    111      |   -850.45    |   -423.81    |   -630.48    |   -275.55    |     247      |  ✅ Success  
    112      |  -12719.90   |   -2086.56   |   -1772.80   |   -1717.65   |     1000     | ⏱️  Timeout 
    113      |    702.10    |    -74.39    |    -39.09    |    -47.88    |      36      |  ✅ Success  
    114      |   -442.50    |   -342.51    |   -253.91    |   -305.86    |     167      |  ✅ Success  
    115      |   -1381.39   |   -576.04    |   -531.02    |   -527.02    |     417      |  ✅ Success  
    116      |    517.99    |    -78.20    |    -66.51    |    -54.80    |      64      |  ✅ Success  
    117      |    625.02    |    -55.86    |    -74.22    |    -54.00    |      44      |  ✅ Success  
    118      |    487.81    |    -74.64    |    -84.44    |    -71.04    |      73      |  ✅ Success  
    119      |    670.65    |    -48.77    |    -46.71    |    -46.67    |      41      |  ✅ Success  
    120      |   -8337.37   |   -1482.50   |   -1555.58   |   -1500.57   |     1000     | ⏱️  Timeout 
