
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 3 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/training_20251025_160828.log
============================================================

Episode  98, Steps:   27, Total:  860.82, Leader:  925.90, [F0: -28.68, F1: -15.51, F2: -20.89] - ✓ success
Episode  99, Steps:   31, Total:  870.70, Leader:  925.50, [F0: -5.57, F1: -21.18, F2: -28.04] - ✓ success
Episode 100, Steps:   30, Total:  887.47, Leader:  934.45, [F0: -2.82, F1: -17.76, F2: -26.39] - ✓ success
Episode 101, Steps:   30, Total:  848.20, Leader:  911.56, [F0: -22.99, F1: -7.01, F2: -33.36] - ✓ success
Episode 102, Steps:   98, Total:  498.40, Leader:  677.59, [F0: -27.14, F1: -46.16, F2: -105.89] - ✓ success
Episode 103, Steps:  273, Total: -521.59, Leader:  145.97, [F0: -137.69, F1: -151.55, F2: -378.31] - ✓ success
Episode 104, Steps:   27, Total:  900.91, Leader:  932.81, [F0: -15.45, F1: -2.79, F2: -13.67] - ✓ success
Episode 105, Steps:   31, Total:  861.13, Leader:  904.25, [F0: -19.58, F1: -8.07, F2: -15.47] - ✓ success
Episode 106, Steps:   57, Total:  715.79, Leader:  817.39, [F0: -29.99, F1: -24.28, F2: -47.33] - ✓ success
Episode 107, Steps:   25, Total:  908.10, Leader:  946.21, [F0: 2.70, F1: -3.20, F2: -37.60] - ✓ success
Episode 108, Steps:   23, Total:  913.26, Leader:  942.74, [F0: -9.78, F1: -10.10, F2: -9.60] - ✓ success
Episode 109, Steps:   20, Total:  950.89, Leader:  960.35, [F0: 0.96, F1: -8.01, F2: -2.41] - ✓ success
Episode 110, Steps:   18, Total:  920.92, Leader:  957.33, [F0: -8.24, F1: -11.20, F2: -16.97] - ✓ success
Episode 111, Steps:   18, Total:  947.17, Leader:  962.53, [F0: -8.99, F1: 1.23, F2: -7.61] - ✓ success
Episode 112, Steps:   71, Total:  676.01, Leader:  839.38, [F0: -46.96, F1: -44.97, F2: -71.44] - ✓ success
Episode 113, Steps:   38, Total:  864.54, Leader:  914.62, [F0: -20.80, F1: -13.99, F2: -15.29] - ✓ success
Episode 114, Steps:   49, Total:  851.30, Leader:  923.96, [F0: -21.37, F1: -14.78, F2: -36.51] - ✓ success
Episode 115, Steps:   43, Total:  800.61, Leader:  875.38, [F0: -13.83, F1: -19.68, F2: -41.25] - ✓ success
Episode 116, Steps:   27, Total:  846.46, Leader:  927.37, [F0: -16.16, F1: -10.99, F2: -53.76] - ✓ success
