📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_211015/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |  Follower3   |    Steps     |    Status   
    166      |   -8973.60   |   -1252.05   |   -1272.51   |   -975.94    |   -1875.31   |     1000     | ⏱️  Timeout 
    167      |   -8562.11   |   -1243.34   |   -1042.85   |   -722.46    |   -809.48    |     1000     | ⏱️  Timeout 
    168      |   -611.32    |    -13.66    |    -14.84    |    -21.15    |    -11.08    |      12      |  ❌ Failure  
    169      |   -4533.22   |   -676.68    |   -456.05    |   -537.57    |   -417.97    |     495      |  ❌ Failure  
    170      |   -4483.95   |   -501.36    |   -476.27    |   -412.93    |   -387.98    |     453      |  ❌ Failure  
  📊 统计 [Ep 170]: Actor Loss=33.8672, Critic Loss=7.6135, Alpha=0.0555, TD-error=1.1881, Beta=1.0000
    171      |   -8209.64   |   -1107.08   |   -1061.72   |   -672.24    |   -726.52    |     1000     | ⏱️  Timeout 
    172      |   -8463.01   |   -1210.44   |   -1071.53   |   -921.96    |   -759.36    |     1000     | ⏱️  Timeout 
    173      |   -7107.65   |   -870.75    |   -956.48    |   -794.75    |   -764.01    |     823      |  ❌ Failure  
    174      |   -8423.34   |   -1298.93   |   -1336.61   |   -1381.23   |   -1184.62   |     1000     | ⏱️  Timeout 
    175      |   -7817.34   |   -1098.19   |   -1028.49   |   -1222.39   |   -864.90    |     1000     | ⏱️  Timeout 
    176      |   -1414.67   |   -113.60    |   -152.55    |    -74.75    |    -76.09    |     104      |  ❌ Failure  
    177      |   -8852.62   |   -1145.14   |   -1051.73   |   -1198.73   |   -742.25    |     1000     | ⏱️  Timeout 
    178      |   -8290.16   |   -1232.43   |   -1040.91   |   -881.68    |   -788.09    |     1000     | ⏱️  Timeout 
    179      |   -8687.88   |   -1770.35   |   -1295.19   |   -1059.91   |   -1153.78   |     1000     | ⏱️  Timeout 
    180      |   -8095.81   |   -1183.67   |   -1063.81   |   -1219.17   |   -679.90    |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 180]: Actor Loss=32.4390, Critic Loss=4.3685, Alpha=0.0535, TD-error=1.0070, Beta=1.0000
    181      |   -4167.25   |   -486.88    |   -442.76    |   -285.31    |   -342.78    |     427      |  ❌ Failure  
    182      |   -8313.36   |   -1256.20   |   -1116.26   |   -775.26    |   -795.63    |     1000     | ⏱️  Timeout 
    183      |   -9922.04   |   -1621.09   |   -1658.81   |   -1672.63   |   -1633.00   |     1000     | ⏱️  Timeout 
    184      |   -8097.86   |   -1278.11   |   -959.97    |   -640.28    |   -763.31    |     1000     | ⏱️  Timeout 
    185      |   -8217.21   |   -1120.42   |   -1032.59   |   -1203.59   |   -968.58    |     1000     | ⏱️  Timeout 
    186      |   -9163.79   |   -1251.88   |   -1381.84   |   -1444.56   |   -1429.88   |     1000     | ⏱️  Timeout 
    187      |   -929.62    |   -339.85    |   -276.91    |   -241.41    |   -227.18    |     247      |  ✅ Success  
    188      |   -8677.53   |   -1101.03   |   -1031.93   |   -1274.21   |   -667.29    |     1000     | ⏱️  Timeout 
    189      |   -2939.49   |   -294.57    |   -403.96    |   -303.98    |   -172.69    |     265      |  ❌ Failure  
    190      |   -5556.59   |   -679.04    |   -607.03    |   -777.33    |   -482.61    |     616      |  ❌ Failure  
  📊 统计 [Ep 190]: Actor Loss=31.0727, Critic Loss=6.8398, Alpha=0.0519, TD-error=1.1359, Beta=1.0000
    191      |   -9794.64   |   -1771.71   |   -1618.35   |   -1607.94   |   -1445.94   |     1000     | ⏱️  Timeout 
    192      |  -14103.68   |   -1889.73   |   -1723.05   |   -1928.58   |   -3708.69   |     1000     | ⏱️  Timeout 
    193      |   -9516.01   |   -2006.63   |   -1567.68   |   -1568.32   |   -1623.26   |     1000     | ⏱️  Timeout 
    194      |   -7991.40   |   -1185.11   |   -1125.13   |   -865.86    |   -1074.26   |     1000     | ⏱️  Timeout 
    195      |   -549.81    |    -6.76     |    -6.31     |    -6.72     |    -4.91     |      6       |  ❌ Failure  
    196      |   -8817.83   |   -1517.30   |   -1355.60   |   -1258.05   |   -1287.98   |     1000     | ⏱️  Timeout 
    197      |   -6413.45   |   -844.67    |   -702.86    |   -509.28    |   -560.80    |     649      |  ❌ Failure  
    198      |   -9175.43   |   -1167.30   |   -1035.14   |   -807.06    |   -821.88    |     1000     | ⏱️  Timeout 
    199      |   -9450.70   |   -1142.85   |   -1135.88   |   -1095.85   |   -831.39    |     1000     | ⏱️  Timeout 
    200      |   -8918.07   |   -1167.37   |   -1158.37   |   -918.07    |   -774.12    |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 200]: Actor Loss=37.3909, Critic Loss=18.4716, Alpha=0.0656, TD-error=1.8857, Beta=1.0000
    201      |   -9119.80   |   -973.44    |   -900.42    |   -826.71    |   -709.41    |     1000     | ⏱️  Timeout 
    202      |   -8877.35   |   -1204.30   |   -1044.23   |   -1063.71   |   -947.12    |     1000     | ⏱️  Timeout 
    203      |   -8755.89   |   -1110.33   |   -978.69    |   -931.50    |   -637.12    |     1000     | ⏱️  Timeout 
    204      |   -8516.39   |   -1082.73   |   -979.96    |   -614.86    |   -787.47    |     1000     | ⏱️  Timeout 
