
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 4 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
============================================================

Episode 377, Steps:   64, Total:  623.95, Leader:  772.74, [F0: -8.98, F1: -25.52, F2: -21.07, F3: -93.22] - ✓ success
Episode 378, Steps:   44, Total:  883.03, Leader:  902.15, [F0: -11.80, F1: 2.78, F2: 1.66, F3: -11.76] - ✓ success
Episode 379, Steps:   72, Total:  621.67, Leader:  727.95, [F0: -6.11, F1: -45.41, F2: -27.52, F3: -27.24] - ✓ success
Episode 380, Steps:   39, Total:  961.87, Leader:  929.85, [F0: -1.13, F1: 14.82, F2: 9.98, F3: 8.35] - ✓ success
  💾 模型已保存 (episode 380)
Episode 381, Steps:   51, Total:  932.04, Leader:  893.30, [F0: 9.76, F1: -1.61, F2: 34.69, F3: -4.11] - ✓ success
Episode 382, Steps:   35, Total:  935.08, Leader:  924.95, [F0: -0.60, F1: -14.89, F2: 16.20, F3: 9.42] - ✓ success
Episode 383, Steps:   43, Total:  903.51, Leader:  893.75, [F0: 4.13, F1: 3.42, F2: 3.25, F3: -1.04] - ✓ success
Episode 384, Steps:   41, Total:  961.34, Leader:  917.18, [F0: 11.00, F1: 8.85, F2: 27.27, F3: -2.96] - ✓ success
Episode 385, Steps:   46, Total:  900.76, Leader:  901.62, [F0: 2.82, F1: -4.49, F2: -7.57, F3: 8.38] - ✓ success
Episode 386, Steps:   50, Total:  820.82, Leader:  865.59, [F0: -32.80, F1: 5.76, F2: -6.92, F3: -10.81] - ✓ success
Episode 387, Steps:   43, Total:  807.71, Leader:  879.93, [F0: -6.29, F1: -25.21, F2: -25.46, F3: -15.26] - ✓ success
Episode 388, Steps:   46, Total:  915.14, Leader:  906.30, [F0: 12.41, F1: 5.40, F2: -4.16, F3: -4.81] - ✓ success
Episode 389, Steps:   47, Total:  928.38, Leader:  903.38, [F0: 6.82, F1: 9.04, F2: 11.22, F3: -2.09] - ✓ success
Episode 390, Steps:   31, Total:  899.52, Leader:  927.62, [F0: -6.12, F1: -8.24, F2: -10.38, F3: -3.35] - ✓ success
Episode 391, Steps:   42, Total:  975.27, Leader:  935.86, [F0: 4.76, F1: 3.09, F2: 31.13, F3: 0.43] - ✓ success
Episode 392, Steps:   40, Total:  847.04, Leader:  903.80, [F0: -2.76, F1: -12.40, F2: -21.42, F3: -20.18] - ✓ success
Episode 393, Steps:   42, Total:  883.47, Leader:  900.70, [F0: -32.34, F1: 7.55, F2: 6.31, F3: 1.25] - ✓ success
Episode 394, Steps:   44, Total:  916.00, Leader:  907.77, [F0: 6.58, F1: -2.98, F2: 9.93, F3: -5.30] - ✓ success
Episode 395, Steps:   35, Total:  914.50, Leader:  918.83, [F0: 2.76, F1: 17.09, F2: -8.79, F3: -15.39] - ✓ success
Episode 396, Steps:   46, Total:  964.33, Leader:  911.85, [F0: 8.66, F1: 0.95, F2: 40.00, F3: 2.87] - ✓ success
Episode 397, Steps:   44, Total:  835.21, Leader:  877.75, [F0: -11.96, F1: -0.60, F2: -17.68, F3: -12.31] - ✓ success
Episode 398, Steps:   41, Total:  985.94, Leader:  936.40, [F0: 18.98, F1: 3.48, F2: 39.74, F3: -12.67] - ✓ success
Episode 399, Steps:   44, Total:  909.49, Leader:  901.43, [F0: -1.75, F1: -0.17, F2: 25.10, F3: -15.12] - ✓ success
Episode 400, Steps:   33, Total:  944.02, Leader:  942.91, [F0: 1.74, F1: 5.93, F2: -11.37, F3: 4.82] - ✓ success
  💾 模型已保存 (episode 400)
Episode 401, Steps:   48, Total:  862.15, Leader:  880.23, [F0: -1.33, F1: -2.36, F2: -12.34, F3: -2.05] - ✓ success
Episode 402, Steps:   56, Total:  905.99, Leader:  881.54, [F0: 5.82, F1: 12.30, F2: 11.94, F3: -5.60] - ✓ success
Episode 403, Steps:   29, Total:  879.93, Leader:  927.42, [F0: -13.02, F1: -22.75, F2: -15.26, F3: 3.55] - ✓ success
Episode 404, Steps:   27, Total: 1020.08, Leader:  965.02, [F0: 13.88, F1: 9.16, F2: 19.18, F3: 12.83] - ✓ success
Episode 405, Steps:   35, Total:  981.79, Leader:  940.70, [F0: 11.72, F1: 13.03, F2: 21.30, F3: -4.95] - ✓ success
Episode 406, Steps:   58, Total:  927.99, Leader:  872.22, [F0: 18.07, F1: 7.26, F2: 24.37, F3: 6.07] - ✓ success
Episode 407, Steps:   49, Total:  856.27, Leader:  877.42, [F0: -1.08, F1: 0.56, F2: -25.77, F3: 5.14] - ✓ success
Episode 408, Steps:   75, Total:  746.20, Leader:  791.11, [F0: 8.62, F1: 8.61, F2: -19.42, F3: -42.70] - ✓ success
Episode 409, Steps:   46, Total:  962.82, Leader:  918.02, [F0: 13.96, F1: 6.34, F2: 31.53, F3: -7.03] - ✓ success
Episode 410, Steps:   75, Total:  434.13, Leader:  612.82, [F0: -69.04, F1: -26.21, F2: -41.60, F3: -41.85] - ✓ success
Episode 411, Steps:   40, Total:  914.33, Leader:  913.70, [F0: 4.77, F1: -6.13, F2: -5.51, F3: 7.50] - ✓ success
Episode 412, Steps:   61, Total:  758.51, Leader:  847.17, [F0: 12.03, F1: -11.33, F2: -23.84, F3: -65.52] - ✓ success
Episode 413, Steps:   45, Total:  939.60, Leader:  915.42, [F0: 6.54, F1: 3.74, F2: 17.05, F3: -3.14] - ✓ success
Episode 414, Steps:   36, Total:  943.57, Leader:  928.48, [F0: -0.67, F1: -3.67, F2: 22.14, F3: -2.71] - ✓ success
Episode 415, Steps:   53, Total:  853.17, Leader:  877.00, [F0: 10.50, F1: -3.01, F2: -25.52, F3: -5.80] - ✓ success
Episode 416, Steps:   48, Total:  952.05, Leader:  916.78, [F0: 0.80, F1: 10.23, F2: 26.40, F3: -2.16] - ✓ success
Episode 417, Steps:   30, Total:  955.96, Leader:  941.74, [F0: 8.34, F1: -8.81, F2: 2.54, F3: 12.14] - ✓ success
Episode 418, Steps:   68, Total:  808.01, Leader:  823.66, [F0: -7.13, F1: -4.23, F2: 5.86, F3: -10.15] - ✓ success
Episode 419, Steps:   36, Total:  984.37, Leader:  945.78, [F0: 5.21, F1: 5.20, F2: 13.59, F3: 14.58] - ✓ success
Episode 420, Steps:   30, Total:  922.08, Leader:  933.58, [F0: 11.19, F1: -4.87, F2: -12.55, F3: -5.28] - ✓ success
  💾 模型已保存 (episode 420)
Episode 421, Steps:   50, Total:  914.91, Leader:  893.09, [F0: 10.53, F1: 8.61, F2: 8.96, F3: -6.28] - ✓ success
Episode 422, Steps:   58, Total:  887.50, Leader:  871.68, [F0: 9.90, F1: -2.65, F2: 5.71, F3: 2.86] - ✓ success
Episode 423, Steps:   55, Total:  892.75, Leader:  871.62, [F0: 13.62, F1: 6.00, F2: -5.06, F3: 6.56] - ✓ success
Episode 424, Steps:   44, Total:  902.77, Leader:  904.03, [F0: 9.77, F1: 1.12, F2: -7.45, F3: -4.70] - ✓ success
Episode 425, Steps:   41, Total:  886.89, Leader:  908.60, [F0: 7.85, F1: -5.02, F2: -16.36, F3: -8.18] - ✓ success
Episode 426, Steps:   51, Total:  878.96, Leader:  883.75, [F0: 12.81, F1: -3.68, F2: -10.60, F3: -3.33] - ✓ success
Episode 427, Steps:   47, Total:  911.68, Leader:  900.71, [F0: 5.83, F1: -12.26, F2: 11.54, F3: 5.86] - ✓ success
Episode 428, Steps:   95, Total:  607.39, Leader:  713.91, [F0: -21.54, F1: -16.93, F2: -24.37, F3: -43.68] - ✓ success
Episode 429, Steps:   70, Total:  619.02, Leader:  755.75, [F0: -47.47, F1: -45.19, F2: -25.83, F3: -18.25] - ✓ success
Episode 430, Steps:   47, Total:  962.96, Leader:  906.63, [F0: 15.23, F1: 7.48, F2: 26.68, F3: 6.93] - ✓ success
Episode 431, Steps:   48, Total:  953.31, Leader:  912.84, [F0: 9.23, F1: 16.87, F2: 15.96, F3: -1.58] - ✓ success
Episode 432, Steps:   54, Total:  873.35, Leader:  872.77, [F0: 8.86, F1: 0.33, F2: -2.20, F3: -6.40] - ✓ success
Episode 433, Steps:   63, Total:  844.02, Leader:  854.57, [F0: -2.11, F1: -2.93, F2: 13.27, F3: -18.77] - ✓ success
Episode 434, Steps:   28, Total:  993.61, Leader:  957.74, [F0: 9.16, F1: 15.74, F2: 5.88, F3: 5.08] - ✓ success
Episode 435, Steps:   36, Total:  897.65, Leader:  909.21, [F0: 4.73, F1: 3.16, F2: -14.03, F3: -5.42] - ✓ success
Episode 436, Steps:   42, Total:  918.32, Leader:  923.00, [F0: 3.79, F1: 8.94, F2: -3.01, F3: -14.41] - ✓ success
Episode 437, Steps:   38, Total:  893.33, Leader:  915.06, [F0: -5.85, F1: 7.87, F2: -14.25, F3: -9.50] - ✓ success
Episode 438, Steps:   48, Total:  896.94, Leader:  879.12, [F0: -2.92, F1: -2.51, F2: 12.55, F3: 10.70] - ✓ success
Episode 439, Steps:   31, Total:  922.24, Leader:  941.02, [F0: 2.61, F1: -19.28, F2: 2.25, F3: -4.37] - ✓ success
Episode 440, Steps:   40, Total:  897.59, Leader:  907.01, [F0: -3.99, F1: -0.53, F2: 12.77, F3: -17.67] - ✓ success
  💾 模型已保存 (episode 440)
Episode 441, Steps:   26, Total:  959.73, Leader:  954.09, [F0: 7.05, F1: 14.69, F2: -12.27, F3: -3.83] - ✓ success
Episode 442, Steps:   39, Total:  894.11, Leader:  921.93, [F0: -13.93, F1: -0.99, F2: -5.43, F3: -7.47] - ✓ success
Episode 443, Steps:   48, Total:  947.72, Leader:  901.61, [F0: 2.83, F1: -1.71, F2: 37.79, F3: 7.20] - ✓ success
Episode 444, Steps:   60, Total:  842.18, Leader:  854.19, [F0: -1.90, F1: -6.24, F2: -0.07, F3: -3.80] - ✓ success
Episode 445, Steps:   27, Total:  927.68, Leader:  941.46, [F0: -14.36, F1: 16.37, F2: -15.53, F3: -0.27] - ✓ success
Episode 446, Steps:   53, Total:  888.31, Leader:  875.11, [F0: -0.24, F1: -3.96, F2: 18.99, F3: -1.59] - ✓ success
Episode 447, Steps:   46, Total:  911.60, Leader:  898.30, [F0: 10.82, F1: -6.39, F2: 15.23, F3: -6.35] - ✓ success
Episode 448, Steps:   40, Total:  877.50, Leader:  910.81, [F0: 0.74, F1: -11.37, F2: -27.31, F3: 4.62] - ✓ success
Episode 449, Steps:   47, Total:  914.30, Leader:  895.37, [F0: 4.78, F1: -9.87, F2: 27.34, F3: -3.31] - ✓ success
Episode 450, Steps:   27, Total:  931.84, Leader:  948.60, [F0: 8.29, F1: 9.55, F2: -18.56, F3: -16.05] - ✓ success
Episode 451, Steps:   48, Total:  876.38, Leader:  892.37, [F0: -4.07, F1: 4.28, F2: -2.26, F3: -13.95] - ✓ success
Episode 452, Steps:   62, Total:  695.24, Leader:  820.57, [F0: -31.15, F1: -17.61, F2: -52.69, F3: -23.88] - ✓ success
Episode 453, Steps:   33, Total:  846.51, Leader:  909.45, [F0: -13.95, F1: 1.82, F2: -28.97, F3: -21.85] - ✓ success
Episode 454, Steps:   25, Total:  940.21, Leader:  951.28, [F0: -4.88, F1: -0.08, F2: 4.65, F3: -10.76] - ✓ success
Episode 455, Steps:   46, Total:  915.13, Leader:  914.21, [F0: -2.72, F1: -1.13, F2: 28.00, F3: -23.22] - ✓ success
Episode 456, Steps:   39, Total:  977.39, Leader:  928.17, [F0: 20.74, F1: -3.15, F2: 25.87, F3: 5.75] - ✓ success
Episode 457, Steps:   64, Total:  739.90, Leader:  782.35, [F0: 0.57, F1: -8.61, F2: -25.48, F3: -8.93] - ✓ success
Episode 458, Steps:   45, Total:  973.18, Leader:  918.64, [F0: 12.22, F1: 12.37, F2: 25.56, F3: 4.39] - ✓ success
Episode 459, Steps:   27, Total:  914.50, Leader:  939.97, [F0: -6.32, F1: -0.81, F2: -16.56, F3: -1.78] - ✓ success
Episode 460, Steps:   46, Total:  936.69, Leader:  919.52, [F0: 15.40, F1: 1.36, F2: 16.31, F3: -15.90] - ✓ success
  💾 模型已保存 (episode 460)
Episode 461, Steps:   54, Total:  962.80, Leader:  905.83, [F0: 3.10, F1: 5.95, F2: 46.45, F3: 1.48] - ✓ success
Episode 462, Steps:   27, Total:  958.52, Leader:  950.95, [F0: -4.87, F1: 4.53, F2: -12.59, F3: 20.50] - ✓ success
Episode 463, Steps:   44, Total:  934.77, Leader:  922.42, [F0: 9.54, F1: 0.27, F2: 1.60, F3: 0.95] - ✓ success
Episode 464, Steps:   28, Total:  985.46, Leader:  952.60, [F0: 8.00, F1: 9.64, F2: 1.74, F3: 13.48] - ✓ success
Episode 465, Steps:   26, Total:  982.58, Leader:  960.06, [F0: 4.11, F1: 11.72, F2: -6.40, F3: 13.09] - ✓ success
Episode 466, Steps:   42, Total:  976.65, Leader:  953.04, [F0: 12.77, F1: 4.16, F2: 8.23, F3: -1.55] - ✓ success
Episode 467, Steps:   51, Total:  888.41, Leader:  897.31, [F0: -2.40, F1: -1.36, F2: 11.34, F3: -16.48] - ✓ success
Episode 468, Steps:   27, Total:  917.39, Leader:  936.81, [F0: 9.69, F1: -5.66, F2: -13.74, F3: -9.70] - ✓ success
Episode 469, Steps:   52, Total:  880.41, Leader:  880.92, [F0: 7.75, F1: 3.94, F2: -8.11, F3: -4.08] - ✓ success
Episode 470, Steps:   41, Total:  935.56, Leader:  919.67, [F0: 10.99, F1: 3.89, F2: -3.40, F3: 4.41] - ✓ success
Episode 471, Steps:   48, Total:  928.82, Leader:  901.59, [F0: 7.08, F1: 3.27, F2: 15.41, F3: 1.47] - ✓ success
Episode 472, Steps:   53, Total:  945.69, Leader:  893.70, [F0: 11.33, F1: 5.85, F2: 38.80, F3: -3.99] - ✓ success
Episode 473, Steps:   47, Total:  922.50, Leader:  909.63, [F0: -17.39, F1: 6.14, F2: 12.94, F3: 11.19] - ✓ success
Episode 474, Steps:   66, Total:  755.29, Leader:  820.03, [F0: 6.88, F1: -4.21, F2: -48.21, F3: -19.19] - ✓ success
Episode 475, Steps:   40, Total:  965.00, Leader:  931.76, [F0: 11.99, F1: -4.71, F2: 29.97, F3: -4.02] - ✓ success
Episode 476, Steps:   48, Total:  948.55, Leader:  906.27, [F0: 12.31, F1: -7.73, F2: 22.39, F3: 15.31] - ✓ success
Episode 477, Steps:   36, Total:  934.17, Leader:  939.01, [F0: 19.24, F1: -13.77, F2: -1.50, F3: -8.80] - ✓ success
Episode 478, Steps:   65, Total:  828.76, Leader:  846.27, [F0: 5.40, F1: -10.81, F2: 11.73, F3: -23.84] - ✓ success
Episode 479, Steps:   63, Total:  921.84, Leader:  874.51, [F0: 28.94, F1: -4.23, F2: 12.57, F3: 10.05] - ✓ success
Episode 480, Steps:   48, Total:  901.41, Leader:  894.03, [F0: -11.68, F1: 0.21, F2: 21.21, F3: -2.36] - ✓ success
  💾 模型已保存 (episode 480)
Episode 481, Steps:   47, Total:  906.51, Leader:  921.80, [F0: -2.38, F1: 13.61, F2: -16.35, F3: -10.16] - ✓ success
Episode 482, Steps:   53, Total:  888.11, Leader:  878.96, [F0: 8.87, F1: -4.30, F2: 6.92, F3: -2.34] - ✓ success
Episode 483, Steps:   41, Total:  969.15, Leader:  925.83, [F0: 23.83, F1: 12.61, F2: 12.98, F3: -6.09] - ✓ success
Episode 484, Steps:   52, Total:  912.03, Leader:  893.21, [F0: 11.60, F1: 2.53, F2: 1.21, F3: 3.47] - ✓ success
Episode 485, Steps:   36, Total: 1017.97, Leader:  950.61, [F0: 24.00, F1: 7.17, F2: 36.00, F3: 0.20] - ✓ success
Episode 486, Steps:   50, Total: 1004.84, Leader:  915.49, [F0: 21.69, F1: 9.59, F2: 46.86, F3: 11.22] - ✓ success
Episode 487, Steps:   41, Total:  934.42, Leader:  911.98, [F0: -0.37, F1: 11.05, F2: -1.14, F3: 12.91] - ✓ success
Episode 488, Steps:   56, Total:  884.16, Leader:  869.86, [F0: 8.95, F1: -2.50, F2: 9.83, F3: -1.98] - ✓ success
Episode 489, Steps:   43, Total:  868.54, Leader:  870.21, [F0: -24.66, F1: 14.80, F2: 1.38, F3: 6.80] - ✓ success
Episode 490, Steps:   46, Total:  996.44, Leader:  928.36, [F0: 7.96, F1: 7.76, F2: 43.46, F3: 8.90] - ✓ success
Episode 491, Steps:   51, Total:  868.43, Leader:  876.74, [F0: 5.28, F1: -12.21, F2: 3.88, F3: -5.27] - ✓ success
Episode 492, Steps:   37, Total: 1004.55, Leader:  955.45, [F0: 12.67, F1: 5.66, F2: 30.07, F3: 0.69] - ✓ success
Episode 493, Steps:   49, Total:  950.37, Leader:  914.97, [F0: -12.32, F1: 5.66, F2: 31.12, F3: 10.94] - ✓ success
Episode 494, Steps:   58, Total:  877.41, Leader:  856.56, [F0: 6.26, F1: 1.43, F2: -3.49, F3: 16.64] - ✓ success
Episode 495, Steps:   30, Total:  958.39, Leader:  940.72, [F0: 14.23, F1: 10.68, F2: -0.20, F3: -7.03] - ✓ success
Episode 496, Steps:   48, Total:  949.00, Leader:  908.49, [F0: 11.35, F1: 6.93, F2: 23.35, F3: -1.12] - ✓ success
Episode 497, Steps:   47, Total:  933.50, Leader:  904.59, [F0: 13.84, F1: 5.05, F2: 1.85, F3: 8.17] - ✓ success
Episode 498, Steps:   33, Total:  933.98, Leader:  924.27, [F0: -3.29, F1: -5.55, F2: 0.38, F3: 18.17] - ✓ success
Episode 499, Steps:   52, Total:  878.85, Leader:  867.80, [F0: 8.48, F1: -4.11, F2: 10.30, F3: -3.61] - ✓ success
训练曲线已保存到: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_curve.png

✅ 训练完成! 共500轮
总平均奖励: -439.72
  - Leader平均: 177.53
  - Follower平均: -154.31
总最佳奖励: 1020.08
模型已保存到: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower
训练数据已保存到: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/MASAC_new1
训练日志已保存到: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
