
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 4 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
============================================================

Episode  80, Steps: 1000, Total: -7868.87, Leader: -5270.51, [F0: -634.73, F1: -672.29, F2: -638.23, F3: -653.11] - ⏱ timeout
Episode  81, Steps:  155, Total: -463.87, Leader:  147.87, [F0: -121.00, F1: -87.13, F2: -252.26, F3: -151.37] - ✓ success
Episode  82, Steps:    4, Total: -525.66, Leader: -518.04, [F0: -1.83, F1: -2.12, F2: -2.01, F3: -1.66] - ✗ failure
Episode  83, Steps:  213, Total:  175.42, Leader:  446.95, [F0: -79.33, F1: -87.94, F2: -29.00, F3: -75.25] - ✓ success
Episode  84, Steps:   32, Total: -826.02, Leader: -646.32, [F0: -50.37, F1: -41.26, F2: -49.62, F3: -38.45] - ✗ failure
Episode  85, Steps:  144, Total:  250.06, Leader:  541.05, [F0: -55.17, F1: -53.70, F2: -99.47, F3: -82.64] - ✓ success
Episode  86, Steps:   77, Total:  626.83, Leader:  754.28, [F0: -10.46, F1: -19.66, F2: -59.25, F3: -38.08] - ✓ success
Episode  87, Steps:   77, Total:  460.46, Leader:  708.70, [F0: -56.15, F1: -37.95, F2: -114.70, F3: -39.43] - ✓ success
Episode  88, Steps:  409, Total: -1362.81, Leader: -326.83, [F0: -47.28, F1: -195.55, F2: -557.55, F3: -235.59] - ✓ success
Episode  89, Steps:   84, Total:  556.01, Leader:  719.80, [F0: -28.66, F1: -39.03, F2: -67.95, F3: -28.16] - ✓ success
Episode  90, Steps:  140, Total:  476.67, Leader:  633.32, [F0: -39.41, F1: -34.52, F2: -32.77, F3: -49.96] - ✓ success
Episode  91, Steps:  151, Total: -464.75, Leader:  218.90, [F0: -159.80, F1: -113.16, F2: -152.67, F3: -258.03] - ✓ success
Episode  92, Steps:   10, Total: -559.34, Leader: -542.33, [F0: -6.55, F1: -6.14, F2: -3.83, F3: -0.49] - ✗ failure
Episode  93, Steps:   57, Total:  676.37, Leader:  817.86, [F0: -27.58, F1: -25.79, F2: -51.51, F3: -36.60] - ✓ success
Episode  94, Steps:   83, Total:  557.10, Leader:  782.59, [F0: -32.58, F1: -28.80, F2: -71.60, F3: -92.52] - ✓ success
Episode  95, Steps:   40, Total:  780.35, Leader:  885.65, [F0: -20.17, F1: -38.98, F2: -12.45, F3: -33.70] - ✓ success
Episode  96, Steps:   21, Total: -651.94, Leader: -597.50, [F0: -17.87, F1: -12.52, F2: -4.17, F3: -19.89] - ✗ failure
Episode  97, Steps:   69, Total:  651.02, Leader:  830.58, [F0: -31.46, F1: -28.35, F2: -65.36, F3: -54.39] - ✓ success
Episode  98, Steps:   13, Total: -581.41, Leader: -552.23, [F0: -6.92, F1: -9.91, F2: -1.56, F3: -10.79] - ✗ failure
